,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,is_location_exact,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,price,instant_bookable,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_duration,property_type_Apartment,property_type_Condominium,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,host_response_rate_buckets_100 %,host_response_rate_buckets_Below 100 %,host_response_rate_buckets_No response rate tracked,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within one or a few hours,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,property_type_Bed & Breakfast,cancellation_policy_strict
11604,False,True,False,1.0,1.0,True,4,1.0,2.0,2.0,1,3,30,56.0,True,3,0.15,93.0,10.0,9.0,10.0,10.0,10.0,10.0,626.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
11605,False,True,True,2.0,2.0,True,2,1.0,1.0,1.0,1,2,7,25.0,False,4,0.19,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2077.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
11606,True,True,False,1.0,1.0,True,2,2.0,1.0,1.0,1,2,60,40.0,True,61,2.95,94.0,10.0,10.0,10.0,10.0,9.0,9.0,1441.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
11607,False,True,True,2.0,2.0,False,2,1.0,1.0,1.0,1,6,1125,20.0,True,0,1.1355252709518162,94.41386334856577,9.663965156026023,9.32495452290392,9.713520971302428,9.73067166648285,9.505490866949948,9.41110559143346,1358.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
11608,False,True,True,2.0,2.0,True,2,1.0,1.0,1.0,1,6,1125,20.0,True,1,0.05,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1358.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
11609,False,True,True,19.0,19.0,True,1,1.5,1.0,1.0,1,25,1125,52.0,True,0,1.1355252709518162,94.41386334856577,9.663965156026023,9.32495452290392,9.713520971302428,9.73067166648285,9.505490866949948,9.41110559143346,1243.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
11610,False,True,False,1.0,1.0,True,2,1.0,1.0,1.0,2,3,13,55.0,True,1,0.05,94.41386334856577,9.663965156026023,9.32495452290392,9.713520971302428,9.73067166648285,9.505490866949948,9.41110559143346,1711.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
11611,False,True,False,1.0,1.0,True,2,1.0,1.0,1.0,1,3,31,20.0,False,8,0.42,93.0,10.0,8.0,10.0,10.0,9.0,10.0,625.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
11612,False,True,False,1.0,1.0,True,2,1.0,1.0,1.0,1,7,26,39.0,True,0,1.1355252709518162,94.41386334856577,9.663965156026023,9.32495452290392,9.713520971302428,9.73067166648285,9.505490866949948,9.41110559143346,627.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
11613,False,True,False,1.0,1.0,False,2,1.0,1.0,2.0,1,1,7,25.0,False,72,3.78,89.0,9.0,9.0,9.0,9.0,9.0,9.0,717.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
