,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,is_location_exact,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,price,instant_bookable,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_duration,property_type_Apartment,property_type_Bed & Breakfast,property_type_Condominium,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,host_response_rate_buckets_100 %,host_response_rate_buckets_Below 100 %,host_response_rate_buckets_No response rate tracked,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within one or a few hours,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,cancellation_policy_strict_14_with_grace_period
968,False,True,True,52.0,52.0,True,2,1.0,0.0,1.0,1,7,1125,137.0,False,0,1.970908448214916,91.91666666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.646548608601373,9.414042707202317,9.16823444283647,699,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
969,False,True,True,363.0,363.0,True,4,1.0,1.0,2.0,2,3,1125,199.0,True,14,1.33,91.0,10.0,10.0,9.0,9.0,9.0,9.0,936,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
970,True,True,False,12.0,12.0,True,4,1.0,1.0,1.0,2,3,89,239.0,False,16,0.91,93.0,10.0,10.0,10.0,10.0,10.0,9.0,1973,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
971,False,True,False,1.0,1.0,True,2,1.0,1.0,1.0,1,3,1125,185.0,False,11,1.74,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1573,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
972,False,True,True,11.0,11.0,True,4,1.0,1.0,1.0,1,1,1125,175.0,False,27,1.12,93.0,10.0,9.0,10.0,10.0,9.0,9.0,1046,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
973,False,True,False,1.0,1.0,True,4,1.0,2.0,2.0,1,2,1125,200.0,False,4,1.43,95.0,10.0,10.0,10.0,10.0,10.0,10.0,1952,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
974,False,True,True,1.0,1.0,False,2,1.0,1.0,1.0,1,1,1125,175.0,False,39,1.61,93.0,9.0,9.0,10.0,10.0,9.0,9.0,1129,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
975,False,True,True,1.0,1.0,True,3,1.5,1.0,2.0,2,1,90,125.0,False,4,4.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,21,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
976,False,True,True,1.0,1.0,True,2,1.0,1.0,1.0,2,5,120,150.0,False,1,0.79,100.0,10.0,10.0,10.0,10.0,10.0,10.0,990,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
977,False,True,True,52.0,52.0,True,2,1.0,0.0,1.0,1,7,1125,150.0,False,0,1.970908448214916,91.91666666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.646548608601373,9.414042707202317,9.16823444283647,699,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
978,False,True,False,1.0,1.0,True,2,1.0,1.0,1.0,1,1,1125,75.0,False,23,3.35,83.0,8.0,9.0,9.0,9.0,9.0,8.0,271,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
979,True,True,False,1.0,1.0,True,2,1.0,1.0,1.0,2,1,1125,200.0,False,11,0.81,100.0,10.0,10.0,10.0,10.0,10.0,10.0,429,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
980,False,True,True,1.0,1.0,True,3,1.0,2.0,2.0,2,2,5,275.0,False,7,2.41,100.0,10.0,10.0,10.0,10.0,10.0,9.0,98,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
981,False,True,False,1.0,1.0,True,1,1.0,1.0,1.0,1,1,1125,120.0,False,0,1.970908448214916,91.91666666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.646548608601373,9.414042707202317,9.16823444283647,324,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
982,True,True,True,3.0,3.0,True,5,2.0,3.0,4.0,4,3,1125,600.0,False,35,2.08,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1344,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
983,False,True,True,2.0,2.0,False,2,1.0,1.0,1.0,1,1,1125,125.0,False,10,0.77,94.0,9.0,9.0,9.0,10.0,9.0,9.0,1618,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
984,True,True,True,2.0,2.0,True,3,1.0,2.0,2.0,3,2,1125,265.0,True,42,7.16,96.0,10.0,10.0,10.0,10.0,10.0,10.0,819,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
985,True,True,False,6.0,6.0,True,2,1.0,1.0,1.0,2,32,1125,160.0,False,15,0.4,89.0,9.0,10.0,9.0,9.0,10.0,9.0,1275,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
986,False,True,True,52.0,52.0,True,2,1.0,0.0,1.0,1,7,1125,155.0,False,3,0.25,93.0,9.0,10.0,9.0,10.0,10.0,9.0,699,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
987,False,True,True,52.0,52.0,True,2,1.0,0.0,1.0,1,7,1125,137.0,False,0,1.970908448214916,91.91666666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.646548608601373,9.414042707202317,9.16823444283647,699,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
988,False,True,True,4.0,4.0,True,3,1.0,1.0,1.0,2,2,1125,99.0,False,20,1.39,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1326,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
989,False,True,True,5.0,5.0,True,1,1.221646597591711,1.0,1.0,1,1,365,98.0,False,184,3.09,91.0,9.0,8.0,10.0,9.0,10.0,9.0,2385,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
990,False,True,True,52.0,52.0,True,2,1.0,0.0,1.0,1,7,1125,150.0,False,0,1.970908448214916,91.91666666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.646548608601373,9.414042707202317,9.16823444283647,699,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
991,False,True,True,1.0,1.0,True,2,1.0,0.0,1.0,1,1,1125,125.0,False,8,1.68,97.0,10.0,9.0,10.0,10.0,10.0,10.0,375,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
992,True,True,True,1.0,1.0,True,3,1.0,1.0,1.0,2,2,1125,235.0,False,66,5.34,98.0,10.0,10.0,10.0,10.0,10.0,10.0,742,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
993,False,True,True,1.0,1.0,False,4,1.0,1.0,1.0,3,1,3,149.0,False,13,3.64,92.0,10.0,8.0,10.0,10.0,10.0,9.0,421,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
994,False,True,True,22.0,22.0,True,2,1.0,0.0,1.0,1,2,1125,100.0,False,55,3.08,84.0,9.0,9.0,10.0,9.0,10.0,9.0,1883,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
995,False,True,True,22.0,22.0,True,2,1.0,1.0,1.0,1,3,365,164.0,False,39,1.26,86.0,9.0,10.0,9.0,9.0,9.0,9.0,1883,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
996,False,True,False,2.0,2.0,True,4,1.0,2.0,2.0,2,2,30,185.0,False,37,3.06,92.0,10.0,10.0,10.0,10.0,10.0,9.0,420,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
997,True,True,True,2.0,2.0,True,3,1.0,1.0,2.0,1,3,1125,250.0,False,77,3.06,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1441,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
998,False,True,False,1.0,1.0,True,2,1.0,1.0,1.0,1,1,1125,100.0,False,0,1.970908448214916,91.91666666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.646548608601373,9.414042707202317,9.16823444283647,778,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
999,False,True,True,1.0,1.0,True,4,1.0,2.0,2.0,1,1,1125,275.0,False,1,1.0,100.0,10.0,10.0,8.0,10.0,10.0,10.0,219,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
1000,False,True,True,22.0,22.0,True,2,1.0,0.0,1.0,1,2,1125,225.0,False,21,1.17,80.0,8.0,9.0,8.0,8.0,9.0,8.0,1883,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
1001,False,True,True,1.0,1.0,True,6,1.0,2.0,3.0,4,1,1125,250.0,False,4,0.85,95.0,10.0,10.0,10.0,10.0,10.0,9.0,597,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
1002,False,True,False,1.0,1.0,True,1,1.5,1.0,1.0,2,1,1125,50.0,False,0,1.970908448214916,91.91666666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.646548608601373,9.414042707202317,9.16823444283647,876,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
1003,False,True,True,1.0,1.0,False,3,1.0,1.0,1.0,1,4,1125,115.0,False,6,1.06,100.0,10.0,10.0,10.0,10.0,10.0,10.0,694,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1004,False,True,True,52.0,52.0,True,2,1.0,0.0,1.0,1,7,1125,150.0,False,3,0.27,67.0,8.0,7.0,9.0,7.0,9.0,7.0,699,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1005,False,True,True,1.0,1.0,True,4,1.0,0.0,2.0,2,4,365,170.0,False,18,0.67,88.0,8.0,9.0,10.0,10.0,8.0,9.0,1597,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
